book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score,,,,,,,
Proverbs,1,14,Proverbs 1:14,FALSE,3660000,3660000,TRUE,10,10,TRUE,10,10,6.563481,1.188856,0.900889,0.819791,,,,,,10,44992000
Proverbs,1,15,Proverbs 1:15,FALSE,3790000,3790000,TRUE,9,9,TRUE,9,9,6.578639,1.213853,0.90297,0.822705,,,,,,11,37583000
Proverbs,1,16,Proverbs 1:16,FALSE,3440000,3440000,TRUE,10,10,TRUE,10,10,6.536559,1.144458,0.897194,0.814614,,,,,,12,40044000
Proverbs,1,17,Proverbs 1:17,FALSE,3570000,3570000,TRUE,9,8,TRUE,9,8,6.552668,1.171024,0.899405,0.817711,,,,,,13,34630000
Proverbs,1,18,Proverbs 1:18,FALSE,3570000,3570000,TRUE,10,10,TRUE,10,10,6.552668,1.171024,0.899405,0.817711,,,,,,14,39795000
Proverbs,1,19,Proverbs 1:19,FALSE,2610000,2610000,TRUE,10,10,TRUE,10,10,6.416641,0.946703,0.880734,0.791554,,,,,,15,
Proverbs,1,20,Proverbs 1:20,FALSE,3420000,3420000,TRUE,9,9,TRUE,9,9,6.534026,1.140282,0.896846,0.814127,,,,,,16,
Proverbs,1,21,Proverbs 1:21,FALSE,2420000,2420000,TRUE,10,10,TRUE,10,10,6.383816,0.892572,0.876229,0.785242,,,,,,17,
Proverbs,1,22,Proverbs 1:22,FALSE,1870000,1870000,TRUE,9,9,TRUE,9,9,6.271842,0.707918,0.86086,0.76371,,,,,,18,
Proverbs,1,23,Proverbs 1:23,FALSE,1280000,1280000,FALSE,0,0,FALSE,0,0,0,0,0,0,,,,,,19,
Proverbs,1,24,Proverbs 1:24,FALSE,1090000,1090000,TRUE,10,9,TRUE,10,9,6.037427,0.321348,0.828684,0.718634,,,,,,20,
Proverbs,1,25,Proverbs 1:25,FALSE,910000,910000,TRUE,9,9,TRUE,9,9,5.959042,0.192084,0.817925,0.703561,,,,,,21,
Proverbs,1,26,Proverbs 1:26,FALSE,1810000,1810000,TRUE,10,10,TRUE,10,10,6.257679,0.684562,0.858916,0.760987,,,,,,22,
Proverbs,1,27,Proverbs 1:27,FALSE,1650000,1650000,TRUE,10,10,TRUE,10,10,6.217484,0.618277,0.853399,0.753258,,,,,,23,
Proverbs,1,28,Proverbs 1:28,FALSE,1040000,1040000,TRUE,9,9,TRUE,9,9,6.017034,0.287718,0.825885,0.714712,,,,,,24,
Proverbs,1,29,Proverbs 1:29,FALSE,854000,854000,TRUE,9,9,TRUE,9,9,5.931458,0.146597,0.814139,0.698257,,,,,,25,
Proverbs,1,30,Proverbs 1:30,FALSE,961000,961000,TRUE,10,10,TRUE,10,10,5.982724,0.231138,0.821176,0.708115,,,,,,26,
Proverbs,1,31,Proverbs 1:31,FALSE,744000,744000,TRUE,10,10,TRUE,10,10,5.871574,0.047841,0.80592,0.686741,,,,,,27,
Proverbs,1,32,Proverbs 1:32,FALSE,960000,960000,TRUE,9,9,TRUE,9,9,5.982272,0.230392,0.821114,0.708028,,,,,,28,
Proverbs,1,33,Proverbs 1:33,FALSE,839000,839000,TRUE,10,10,TRUE,10,10,5.923762,0.133905,0.813083,0.696777,,,,,,29,
Proverbs,2,1,Proverbs 2:1,FALSE,5800000,5800000,TRUE,9,9,TRUE,9,9,6.763428,1.518585,0.928334,0.858239,,,,,,30,
Proverbs,2,2,Proverbs 2:2,FALSE,4210000,4210000,TRUE,9,9,TRUE,9,9,6.624282,1.289122,0.909235,0.831482,,,,,,31,
Proverbs,2,3,Proverbs 2:3,FALSE,10600000,10600000,TRUE,9,9,TRUE,9,9,7.025306,1.950444,0.964278,0.908597,,,,,,,
Proverbs,2,4,Proverbs 2:4,FALSE,5090000,5090000,TRUE,10,10,TRUE,10,10,6.706718,1.425065,0.92055,0.847334,,,,,,,
Proverbs,2,5,Proverbs 2:5,FALSE,3930000,3930000,TRUE,9,9,TRUE,9,9,6.594393,1.239831,0.905132,0.825735,,,,,,,
Proverbs,2,6,Proverbs 2:6,FALSE,3790000,3790000,TRUE,8,8,TRUE,8,8,6.578639,1.213853,0.90297,0.822705,,,,,,,
Proverbs,2,7,Proverbs 2:7,FALSE,2710000,2710000,TRUE,10,9,TRUE,10,9,6.432969,0.973631,0.882976,0.794694,,,,,,,
Proverbs,2,8,Proverbs 2:8,FALSE,3590000,3590000,TRUE,10,10,TRUE,10,10,6.555095,1.175026,0.899738,0.818178,,,,,,,
Proverbs,2,9,Proverbs 2:9,FALSE,3310000,3310000,TRUE,10,10,TRUE,10,10,6.519828,1.116868,0.894898,0.811396,,,,,,,
Proverbs,2,10,Proverbs 2:10,FALSE,3400000,3400000,TRUE,10,10,TRUE,10,10,6.531479,1.136082,0.896497,0.813637,,,,,,,
Proverbs,2,11,Proverbs 2:11,FALSE,2590000,2590000,TRUE,9,9,TRUE,9,9,6.4133,0.941194,0.880276,0.790912,,,,,,,
Proverbs,2,12,Proverbs 2:12,FALSE,2030000,2030000,TRUE,10,10,TRUE,10,10,6.307496,0.766715,0.865753,0.770566,,,,,,,
Proverbs,2,13,Proverbs 2:13,FALSE,2460000,2460000,TRUE,10,10,TRUE,10,10,6.390935,0.904313,0.877206,0.786611,,,,,,,
Proverbs,2,14,Proverbs 2:14,FALSE,2670000,2670000,TRUE,8,8,TRUE,8,8,6.426511,0.962981,0.882089,0.793452,,,,,,,
Proverbs,2,15,Proverbs 2:15,FALSE,2660000,2660000,TRUE,9,9,TRUE,9,9,6.424882,0.960294,0.881866,0.793139,,,,,,,
Proverbs,2,16,Proverbs 2:16,FALSE,1570000,1570000,TRUE,10,10,TRUE,10,10,6.1959,0.582683,0.850436,0.749107,,,,,,,
Proverbs,2,17,Proverbs 2:17,FALSE,1360000,1360000,TRUE,10,10,TRUE,10,10,6.133539,0.479845,0.841876,0.737116,,,,,,,
Proverbs,2,18,Proverbs 2:18,FALSE,1240000,1240000,TRUE,10,10,TRUE,10,10,6.093422,0.413688,0.83637,0.729401,,,,,,,
Proverbs,2,19,Proverbs 2:19,FALSE,1120000,1120000,TRUE,10,10,TRUE,10,10,6.049218,0.340793,0.830303,0.720901,,,,,,,
Proverbs,2,20,Proverbs 2:20,FALSE,1790000,1790000,TRUE,9,9,TRUE,9,9,6.252853,0.676604,0.858253,0.760059,,,,,,,
Proverbs,2,21,Proverbs 2:21,FALSE,995000,995000,TRUE,9,8,TRUE,9,8,5.997824,0.256038,0.823248,0.711018,,,,,,,
Proverbs,2,22,Proverbs 2:22,FALSE,908000,908000,FALSE,0,0,FALSE,0,0,0,0,0,0,,,,,,,
Proverbs,3,1,Proverbs 3:1,FALSE,6950000,6950000,TRUE,9,9,TRUE,9,9,6.841985,1.648132,0.939116,0.873345,,,,,,,
Proverbs,3,2,Proverbs 3:2,FALSE,3750000,3750000,TRUE,10,10,TRUE,10,10,6.574031,1.206254,0.902337,0.821819,,,,,,,
Proverbs,3,3,Proverbs 3:3,FALSE,3980000,3980000,TRUE,10,10,TRUE,10,10,6.599883,1.248886,0.905886,0.826791,,,,,,,
Proverbs,3,4,Proverbs 3:4,FALSE,19300000,19300000,TRUE,10,10,TRUE,10,10,7.285557,2.379621,1,0.958641,,,,,,,
Proverbs,3,5,Proverbs 3:5,FALSE,9680000,9680000,TRUE,7,7,TRUE,7,7,6.985875,1.88542,0.958866,0.901014,,,,,,,
Proverbs,3,6,Proverbs 3:6,FALSE,4140000,4140000,TRUE,8,8,TRUE,8,8,6.617,1.277114,0.908235,0.830082,,,,,,,
Proverbs,3,7,Proverbs 3:7,FALSE,3450000,3450000,TRUE,8,8,TRUE,8,8,6.537819,1.146537,0.897367,0.814856,,,,,,,
Proverbs,3,8,Proverbs 3:8,FALSE,3740000,3740000,TRUE,8,8,TRUE,8,8,6.572872,1.204342,0.902178,0.821596,,,,,,,
Proverbs,3,9,Proverbs 3:9,FALSE,3370000,3370000,TRUE,8,8,TRUE,8,8,6.52763,1.129734,0.895969,0.812897,,,,,,,
Proverbs,3,10,Proverbs 3:10,FALSE,3300000,3300000,TRUE,9,9,TRUE,9,9,6.518514,1.114701,0.894717,0.811144,,,,,,,
Proverbs,3,11,Proverbs 3:11,FALSE,2440000,2440000,TRUE,8,8,TRUE,8,8,6.38739,0.898466,0.876719,0.785929,,,,,,,
Proverbs,3,12,Proverbs 3:12,FALSE,2960000,2960000,TRUE,10,10,TRUE,10,10,6.471292,1.036828,0.888236,0.802063,,,,,,,
Proverbs,3,13,Proverbs 3:13,FALSE,3000000,3000000,TRUE,9,9,TRUE,9,9,6.477121,1.046441,0.889036,0.803184,,,,,,,
Proverbs,3,14,Proverbs 3:14,FALSE,2460000,2460000,TRUE,10,9,TRUE,10,9,6.390935,0.904313,0.877206,0.786611,,,,,,,
Proverbs,3,15,Proverbs 3:15,FALSE,3260000,3260000,TRUE,9,9,TRUE,9,9,6.513218,1.105967,0.89399,0.810125,,,,,,,
Proverbs,3,16,Proverbs 3:16,FALSE,6290000,6290000,TRUE,10,10,TRUE,10,10,6.798651,1.57667,0.933168,0.865012,,,,,,,
Proverbs,3,17,Proverbs 3:17,FALSE,3080000,3080000,TRUE,9,9,TRUE,9,9,6.488551,1.065289,0.890605,0.805382,,,,,,,
Proverbs,3,18,Proverbs 3:18,FALSE,2300000,2300000,TRUE,10,10,TRUE,10,10,6.361728,0.856148,0.873197,0.780995,,,,,,,
Proverbs,3,19,Proverbs 3:19,FALSE,2030000,2030000,TRUE,10,10,TRUE,10,10,6.307496,0.766715,0.865753,0.770566,,,,,,,
Proverbs,3,20,Proverbs 3:20,FALSE,2180000,2180000,TRUE,10,10,TRUE,10,10,6.338457,0.817771,0.870003,0.77652,,,,,,,
Proverbs,3,21,Proverbs 3:21,FALSE,1110000,1110000,TRUE,9,9,TRUE,9,9,6.045323,0.33437,0.829768,0.720152,,,,,,,
Proverbs,3,22,Proverbs 3:22,FALSE,1470000,1470000,TRUE,9,9,TRUE,9,9,6.167318,0.535549,0.846513,0.743611,,,,,,,
Proverbs,3,23,Proverbs 3:23,FALSE,1960000,1960000,TRUE,10,10,TRUE,10,10,6.292256,0.741583,0.863662,0.767636,,,,,,,
Proverbs,3,24,Proverbs 3:24,FALSE,1150000,1150000,TRUE,9,9,TRUE,9,9,6.060698,0.359724,0.831878,0.723109,,,,,,,
Proverbs,3,25,Proverbs 3:25,FALSE,566000,566000,TRUE,8,8,TRUE,8,8,5.752817,-0.147998,0.789619,0.663905,,,,,,,
Proverbs,3,26,Proverbs 3:26,FALSE,489000,489000,TRUE,8,8,TRUE,8,8,5.68931,-0.252727,0.780902,0.651693,,,,,,,
Proverbs,3,27,Proverbs 3:27,FALSE,502000,502000,TRUE,9,9,TRUE,9,9,5.700705,-0.233936,0.782467,0.653884,,,,,,,
Proverbs,3,28,Proverbs 3:28,FALSE,407000,407000,TRUE,9,9,TRUE,9,9,5.609595,-0.384183,0.769961,0.636364,,,,,,,
Proverbs,3,29,Proverbs 3:29,FALSE,382000,382000,TRUE,10,10,TRUE,10,10,5.582064,-0.429583,0.766182,0.63107,,,,,,,
Proverbs,3,30,Proverbs 3:30,FALSE,457000,457000,TRUE,9,9,TRUE,9,9,5.659917,-0.301198,0.776868,0.646041,,,,,,,
Proverbs,3,31,Proverbs 3:31,FALSE,385000,385000,TRUE,9,9,TRUE,9,9,5.585462,-0.423981,0.766649,0.631724,,,,,,,
Proverbs,3,32,Proverbs 3:32,FALSE,313000,313000,TRUE,8,8,TRUE,8,8,5.495546,-0.57226,0.754307,0.614433,,,,,,,
Proverbs,3,33,Proverbs 3:33,FALSE,243000,243000,TRUE,9,9,TRUE,9,9,5.385608,-0.753557,0.739217,0.593293,,,,,,,
Proverbs,3,34,Proverbs 3:34,FALSE,293000,293000,TRUE,9,9,TRUE,9,9,5.466869,-0.61955,0.750371,0.608919,,,,,,,
Proverbs,3,35,Proverbs 3:35,FALSE,338000,338000,TRUE,10,9,TRUE,10,9,5.528918,-0.517227,0.758887,0.620851,,,,,,,
Proverbs,4,1,Proverbs 4:1,FALSE,4480000,4480000,TRUE,9,9,TRUE,9,9,6.651278,1.33364,0.91294,0.836673,,,,,,,
Proverbs,4,2,Proverbs 4:2,FALSE,3210000,3210000,TRUE,8,8,TRUE,8,8,6.506505,1.094897,0.893069,0.808835,,,,,,,
Proverbs,4,3,Proverbs 4:3,FALSE,2600000,2600000,TRUE,9,9,TRUE,9,9,6.414974,0.943954,0.880506,0.791234,,,,,,,
Proverbs,4,4,Proverbs 4:4,FALSE,3830000,3830000,TRUE,10,10,TRUE,10,10,6.583199,1.221372,0.903596,0.823582,,,,,,,
Proverbs,4,5,Proverbs 4:5,FALSE,7890000,7890000,TRUE,9,9,TRUE,9,9,6.897077,1.738984,0.946678,0.883939,,,,,,,
Proverbs,4,6,Proverbs 4:6,FALSE,7970000,7970000,TRUE,9,9,TRUE,9,9,6.901458,1.746209,0.947279,0.884782,,,,,,,
Proverbs,4,7,Proverbs 4:7,FALSE,4550000,4550000,TRUE,7,7,TRUE,7,7,6.658011,1.344744,0.913864,0.837968,,,,,,,
Proverbs,4,8,Proverbs 4:8,FALSE,4250000,4250000,TRUE,10,10,TRUE,10,10,6.628389,1.295894,0.909798,0.832272,,,,,,,
Proverbs,4,9,Proverbs 4:9,FALSE,2750000,2750000,FALSE,0,0,FALSE,0,0,0,0,0,0,,,,,,,
Proverbs,4,10,Proverbs 4:10,FALSE,2710000,2710000,TRUE,9,9,TRUE,9,9,6.432969,0.973631,0.882976,0.794694,,,,,,,
Proverbs,4,11,Proverbs 4:11,FALSE,2200000,2200000,TRUE,10,10,TRUE,10,10,6.342423,0.824312,0.870547,0.777283,,,,,,,
Proverbs,4,12,Proverbs 4:12,FALSE,3280000,3280000,TRUE,10,10,TRUE,10,10,6.515874,1.110347,0.894355,0.810636,,,,,,,
Proverbs,4,13,Proverbs 4:13,FALSE,3500000,3500000,TRUE,10,10,TRUE,10,10,6.544068,1.156842,0.898225,0.816058,,,,,,,
Proverbs,4,14,Proverbs 4:14,FALSE,1530000,1530000,TRUE,9,9,TRUE,9,9,6.184692,0.5642,0.848898,0.746952,,,,,,,
Proverbs,4,15,Proverbs 4:15,FALSE,1810000,1810000,TRUE,9,9,TRUE,9,9,6.257679,0.684562,0.858916,0.760987,,,,,,,
Proverbs,4,16,Proverbs 4:16,FALSE,2240000,2240000,TRUE,10,9,TRUE,10,9,6.350248,0.837217,0.871621,0.778787,,,,,,,
Proverbs,4,17,Proverbs 4:17,FALSE,1510000,1510000,TRUE,10,9,TRUE,10,9,6.178977,0.554776,0.848113,0.745853,,,,,,,
Proverbs,4,18,Proverbs 4:18,FALSE,1870000,1870000,TRUE,8,8,TRUE,8,8,6.271842,0.707918,0.86086,0.76371,,,,,,,
Proverbs,4,19,Proverbs 4:19,FALSE,1870000,1870000,TRUE,9,9,TRUE,9,9,6.271842,0.707918,0.86086,0.76371,,,,,,,
Proverbs,4,20,Proverbs 4:20,FALSE,917000,917000,TRUE,9,9,TRUE,9,9,5.96237,0.197572,0.818382,0.704201,,,,,,,
Proverbs,4,21,Proverbs 4:21,FALSE,426000,426000,TRUE,10,10,TRUE,10,10,5.629411,-0.351506,0.772681,0.640175,,,,,,,
Proverbs,4,22,Proverbs 4:22,FALSE,630000,630000,TRUE,8,8,TRUE,8,8,5.799341,-0.071276,0.796005,0.672851,,,,,,,
Proverbs,4,23,Proverbs 4:23,FALSE,1940000,1940000,TRUE,7,7,TRUE,7,7,6.287802,0.734237,0.86305,0.766779,,,,,,,
Proverbs,4,24,Proverbs 4:24,FALSE,1160000,1160000,TRUE,9,9,TRUE,9,9,6.064458,0.365925,0.832395,0.723832,,,,,,,
Proverbs,4,25,Proverbs 4:25,FALSE,574000,574000,TRUE,8,8,TRUE,8,8,5.758913,-0.137946,0.790456,0.665077,,,,,,,
Proverbs,4,26,Proverbs 4:26,FALSE,486000,486000,TRUE,9,9,TRUE,9,9,5.686637,-0.257134,0.780536,0.651179,,,,,,,
Proverbs,4,27,Proverbs 4:27,FALSE,376000,376000,TRUE,10,10,TRUE,10,10,5.575189,-0.440922,0.765239,0.629748,,,,,,,
Proverbs,5,1,Proverbs 5:1,FALSE,4140000,4140000,TRUE,9,9,TRUE,9,9,6.617,1.277114,0.908235,0.830082,,,,,,,
Proverbs,5,2,Proverbs 5:2,FALSE,2280000,2280000,TRUE,10,10,TRUE,10,10,6.357935,0.849893,0.872677,0.780265,,,,,,,
Proverbs,5,3,Proverbs 5:3,FALSE,2270000,2270000,TRUE,10,10,TRUE,10,10,6.356026,0.846745,0.872415,0.779898,,,,,,,
Proverbs,5,4,Proverbs 5:4,FALSE,2030000,2030000,TRUE,10,10,TRUE,10,10,6.307496,0.766715,0.865753,0.770566,,,,,,,
Proverbs,5,5,Proverbs 5:5,FALSE,2530000,2530000,TRUE,9,9,TRUE,9,9,6.403121,0.924408,0.878879,0.788954,,,,,,,
Proverbs,5,6,Proverbs 5:6,FALSE,10800000,10800000,TRUE,8,8,TRUE,8,8,7.033424,1.963831,0.965393,0.910158,,,,,,,
Proverbs,5,7,Proverbs 5:7,FALSE,5880000,5880000,TRUE,9,9,TRUE,9,9,6.769377,1.528396,0.92915,0.859383,,,,,,,
Proverbs,5,8,Proverbs 5:8,FALSE,4480000,4480000,TRUE,10,10,TRUE,10,10,6.651278,1.33364,0.91294,0.836673,,,,,,,
Proverbs,5,9,Proverbs 5:9,FALSE,2780000,2780000,TRUE,8,8,TRUE,8,8,6.444045,0.991895,0.884496,0.796824,,,,,,,
Proverbs,5,10,Proverbs 5:10,FALSE,3650000,3650000,TRUE,10,10,TRUE,10,10,6.562293,1.186896,0.900726,0.819562,,,,,,,
Proverbs,5,11,Proverbs 5:11,FALSE,2340000,2340000,TRUE,10,10,TRUE,10,10,6.369216,0.868496,0.874225,0.782435,,,,,,,
Proverbs,5,12,Proverbs 5:12,FALSE,2640000,2640000,FALSE,0,0,FALSE,0,0,0,0,0,0,,,,,,,
Proverbs,5,13,Proverbs 5:13,FALSE,1520000,1520000,TRUE,9,9,TRUE,9,9,6.181844,0.559504,0.848507,0.746404,,,,,,,
Proverbs,5,14,Proverbs 5:14,FALSE,2120000,2120000,TRUE,10,10,TRUE,10,10,6.326336,0.797783,0.868339,0.774189,,,,,,,
Proverbs,5,15,Proverbs 5:15,FALSE,1820000,1820000,TRUE,9,9,TRUE,9,9,6.260072,0.688508,0.859244,0.761447,,,,,,,
Proverbs,5,16,Proverbs 5:16,FALSE,2940000,2940000,TRUE,10,10,TRUE,10,10,6.468347,1.031972,0.887832,0.801497,,,,,,,
Proverbs,5,17,Proverbs 5:17,FALSE,2500000,2500000,TRUE,10,10,TRUE,10,10,6.39794,0.915865,0.878168,0.787958,,,,,,,
Proverbs,5,18,Proverbs 5:18,FALSE,1690000,1690000,TRUE,9,9,TRUE,9,9,6.227887,0.635432,0.854826,0.755258,,,,,,,
Proverbs,5,19,Proverbs 5:19,FALSE,1750000,1750000,TRUE,10,10,TRUE,10,10,6.243038,0.660418,0.856906,0.758172,,,,,,,
Proverbs,5,20,Proverbs 5:20,FALSE,1140000,1140000,TRUE,9,9,TRUE,9,9,6.056905,0.353469,0.831358,0.722379,,,,,,,
Proverbs,5,21,Proverbs 5:21,FALSE,1820000,1820000,TRUE,9,9,TRUE,9,9,6.260072,0.688508,0.859244,0.761447,,,,,,,
Proverbs,5,22,Proverbs 5:22,FALSE,2230000,2230000,TRUE,9,9,TRUE,9,9,6.348305,0.834012,0.871355,0.778414,,,,,,,
Proverbs,5,23,Proverbs 5:23,FALSE,1260000,1260000,TRUE,8,8,TRUE,8,8,6.100371,0.425148,0.837324,0.730737,,,,,,,
Proverbs,6,1,Proverbs 6:1,FALSE,3770000,3770000,TRUE,9,9,TRUE,9,9,6.576341,1.210063,0.902655,0.822264,,,,,,,
Proverbs,6,2,Proverbs 6:2,FALSE,2320000,2320000,TRUE,9,8,TRUE,9,8,6.365488,0.862349,0.873713,0.781718,,,,,142:176,,
Proverbs,6,3,Proverbs 6:3,FALSE,1370000,1370000,TRUE,10,10,TRUE,10,10,6.136721,0.485092,0.842313,0.737727,,,,,,,
Proverbs,6,4,Proverbs 6:4,FALSE,2140000,2140000,TRUE,9,9,TRUE,9,9,6.330414,0.804508,0.868899,0.774973,,,,,,,
Proverbs,6,5,Proverbs 6:5,FALSE,1540000,1540000,TRUE,9,9,TRUE,9,9,6.187521,0.568866,0.849286,0.747496,,,,,,,
Proverbs,6,6,Proverbs 6:6,FALSE,2210000,2210000,TRUE,8,8,TRUE,8,8,6.344392,0.82756,0.870818,0.777661,,,,,,,
Proverbs,6,7,Proverbs 6:7,FALSE,7950000,7950000,TRUE,8,8,TRUE,8,8,6.900367,1.744409,0.94713,0.884572,,,,,,,
Proverbs,6,8,Proverbs 6:8,FALSE,4120000,4120000,TRUE,9,9,TRUE,9,9,6.614897,1.273645,0.907947,0.829678,,,,,,,
Proverbs,6,9,Proverbs 6:9,FALSE,3960000,3960000,TRUE,9,9,TRUE,9,9,6.597695,1.245278,0.905586,0.82637,,,,,,,
Proverbs,6,10,Proverbs 6:10,FALSE,3810000,3810000,TRUE,9,9,TRUE,9,9,6.580925,1.217622,0.903284,0.823145,,,,,,,
Proverbs,6,11,Proverbs 6:11,FALSE,2300000,2300000,TRUE,8,8,TRUE,8,8,6.361728,0.856148,0.873197,0.780995,,,,,,,
Proverbs,6,12,Proverbs 6:12,FALSE,2650000,2650000,TRUE,9,9,TRUE,9,9,6.423246,0.957596,0.881641,0.792824,,,,,,,
Proverbs,6,13,Proverbs 6:13,FALSE,1060000,1060000,TRUE,10,10,TRUE,10,10,6.025306,0.30136,0.827021,0.716303,,,,,,,
Proverbs,6,14,Proverbs 6:14,FALSE,1640000,1640000,TRUE,10,10,TRUE,10,10,6.214844,0.613924,0.853036,0.75275,,,,,,,
Proverbs,6,15,Proverbs 6:15,FALSE,865000,865000,TRUE,10,10,TRUE,10,10,5.937017,0.155763,0.814902,0.699325,,,,,,,
Proverbs,6,16,Proverbs 6:16,FALSE,2030000,2030000,TRUE,9,9,TRUE,9,9,6.307496,0.766715,0.865753,0.770566,,,,,,,
Proverbs,6,17,Proverbs 6:17,FALSE,1040000,1040000,TRUE,8,8,TRUE,8,8,6.017034,0.287718,0.825885,0.714712,,,,,,,
Proverbs,6,18,Proverbs 6:18,FALSE,989000,989000,TRUE,9,9,TRUE,9,9,5.995197,0.251707,0.822888,0.710513,,,,,,,
Proverbs,6,19,Proverbs 6:19,FALSE,1340000,1340000,TRUE,10,10,TRUE,10,10,6.127105,0.469235,0.840993,0.735878,,,,,,,
Proverbs,6,20,Proverbs 6:20,FALSE,724000,724000,TRUE,9,9,TRUE,9,9,5.859739,0.028326,0.804295,0.684466,,,,,,,
Proverbs,6,21,Proverbs 6:21,FALSE,858000,858000,TRUE,10,10,TRUE,10,10,5.933488,0.149943,0.814418,0.698647,,,,,,,
Proverbs,6,22,Proverbs 6:22,FALSE,457000,457000,TRUE,8,8,TRUE,8,8,5.659917,-0.301198,0.776868,0.646041,,,,,,,
Proverbs,6,23,Proverbs 6:23,FALSE,1430000,1430000,TRUE,8,8,TRUE,8,8,6.155336,0.51579,0.844868,0.741307,,,,,,,
Proverbs,6,24,Proverbs 6:24,FALSE,1030000,1030000,TRUE,10,10,TRUE,10,10,6.012838,0.280798,0.825309,0.713905,,,,,,,
Proverbs,6,25,Proverbs 6:25,FALSE,647000,647000,TRUE,9,9,TRUE,9,9,5.810905,-0.052206,0.797592,0.675075,,,,,,,
Proverbs,6,26,Proverbs 6:26,FALSE,384000,384000,TRUE,9,9,TRUE,9,9,5.584332,-0.425844,0.766494,0.631507,,,,,,,
Proverbs,6,27,Proverbs 6:27,FALSE,423000,423000,TRUE,8,8,TRUE,8,8,5.626341,-0.356567,0.77226,0.639585,,,,,,,
Proverbs,6,28,Proverbs 6:28,FALSE,372000,372000,FALSE,0,0,FALSE,0,0,0,0,0,0,,,,,,,
Proverbs,6,29,Proverbs 6:29,FALSE,253000,253000,TRUE,9,9,TRUE,9,9,5.403122,-0.724674,0.741621,0.596661,,,,,,,
Proverbs,6,30,Proverbs 6:30,FALSE,851000,851000,TRUE,10,10,TRUE,10,10,5.92993,0.144076,0.81393,0.697963,,,,,,,
Proverbs,6,31,Proverbs 6:31,FALSE,390000,390000,TRUE,8,8,TRUE,8,8,5.591066,-0.41474,0.767418,0.632801,,,,,,,
Proverbs,6,32,Proverbs 6:32,FALSE,325000,325000,TRUE,9,9,TRUE,9,9,5.511885,-0.545316,0.756549,0.617575,,,,,,,
Proverbs,6,33,Proverbs 6:33,FALSE,1300000,1300000,TRUE,10,10,TRUE,10,10,6.113944,0.44753,0.839187,0.733347,,,,,,,
Proverbs,6,34,Proverbs 6:34,FALSE,382000,382000,TRUE,10,10,TRUE,10,10,5.582064,-0.429583,0.766182,0.63107,,,,,,,
Proverbs,6,35,Proverbs 6:35,FALSE,374000,374000,TRUE,9,9,TRUE,9,9,5.572873,-0.444741,0.764921,0.629303,,,,,,,
Proverbs,7,1,Proverbs 7:1,FALSE,3260000,3260000,TRUE,9,9,TRUE,9,9,6.513218,1.105967,0.89399,0.810125,,,,,,,
